Species	Eint	Emed	Emag	Esti	Efla	Efal	Cca	Eac	Ebr	Emax	Emit	Ene	Ete	Epr	Sne	Nca	Tgo	Hha
Ko00520	0.30952381	0.380952381	0.357142857	0.380952381	0.380952381	0.476190476	0.357142857	0.333333333	0.30952381	0.261904762	0.166666667	0.404761905	0.333333333	0.238095238	0.333333333	0.357142857	0.357142857	0.357142857
Ko00521	0.333333333	0.444444444	0.444444444	0.555555556	0.444444444	0.666666667	0.333333333	0.222222222	0.333333333	0.333333333	0	0.555555556	0.777777778	0.111111111	0.444444444	0.444444444	0.444444444	0.444444444
Ko00524	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1
Ko00531	0.1	0.1	0	0	0.1	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0
Ko00532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00533	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00534	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00535	0.333333333	0.333333333	0.333333333	0.333333333	0	0	0.666666667	0.666666667	0.666666667	0	0.666666667	0.333333333	0.666666667	1	0.333333333	0	0	0
Ko00536	0.466666667	0.666666667	0.6	0.666666667	0.533333333	0.733333333	0.466666667	0.533333333	0.6	0.466666667	0.533333333	0.533333333	0.666666667	0.466666667	0.333333333	0.6	0.8	0.666666667
Ko00537	0.03125	0.03125	0.03125	0.03125	0.03125	0.0625	0.03125	0.015625	0.03125	0.015625	0.03125	0.015625	0.046875	0.015625	0.03125	1	0.484375	0.359375
Ko00540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00561	0.333333333	0.333333333	0.416666667	0.361111111	0.388888889	0.305555556	0.361111111	0.333333333	0.305555556	0.277777778	0.194444444	0.305555556	0.277777778	0.166666667	0.305555556	0.277777778	0.277777778	0.277777778
Ko00562	0.307692308	0.384615385	0.346153846	0.346153846	0.423076923	0.461538462	0.423076923	0.384615385	0.346153846	0.307692308	0.192307692	0.423076923	0.384615385	0.115384615	0.384615385	0.346153846	0.346153846	0.384615385
Ko00563	0.444444444	0.722222222	0.5	0.555555556	0.611111111	0.833333333	0.666666667	0.611111111	0.5	0.333333333	0.5	0.611111111	0.666666667	0.388888889	0.611111111	0.555555556	0.555555556	0.611111111
Ko00564	0.423728814	0.457627119	0.474576271	0.423728814	0.474576271	0.491525424	0.440677966	0.423728814	0.406779661	0.338983051	0.322033898	0.457627119	0.457627119	0.220338983	0.372881356	0.389830508	0.389830508	0.389830508
Ko00565	0.25	0.375	0.375	0.4375	0.625	0.4375	0.4375	0.3125	0.375	0.3125	0.375	0.5	0.5	0.1875	0.375	0.375	0.375	0.3125
Ko00590	0.166666667	0.111111111	0.111111111	0.111111111	0.166666667	0.166666667	0.111111111	0.111111111	0.111111111	0.055555556	0.111111111	0.166666667	0.111111111	0.166666667	0.166666667	0.222222222	0.222222222	0.222222222
Ko00591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00592	0.3	0.5	0.3	0.3	0.3	0.3	0.3	0.2	0.1	0.1	0.2	0.3	0.3	0	0.3	0.4	0.4	0.4
Ko00600	0.545454545	0.545454545	0.454545455	0.454545455	0.636363636	0.181818182	0.363636364	0.363636364	0.181818182	0.272727273	0.454545455	0.363636364	0.272727273	0.181818182	0.181818182	0.272727273	0.272727273	0.272727273
Ko00601	0.75	0.75	0.5	0.5	0.5	0	0.25	0.5	0.5	0.25	0.5	0.25	0.5	0.5	0	0	0	0
Ko00603	0.5	0.5	0.333333333	0.333333333	0.5	0	0.166666667	0.333333333	0.333333333	0.333333333	0.333333333	0.166666667	0.166666667	0.5	0	0	0	0
Ko00604	0.333333333	0.333333333	0.166666667	0.166666667	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0	0.333333333	0.166666667	0	0.166666667	0.166666667	0.166666667	0.166666667
Ko00620	0.375	0.425	0.45	0.425	0.425	0.5	0.45	0.4	0.3	0.275	0.175	0.425	0.4	0.2	0.4	0.45	0.45	0.45
Ko00621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00625	0.2	0.4	0.4	0.4	0.4	0.8	0.6	0.4	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
Ko00626	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	1	0.666666667	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333
Ko00627	0.142857143	0.142857143	0.285714286	0.142857143	0.285714286	0.285714286	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.285714286	0	0	0.142857143	0.285714286	0.285714286
Ko00630	0.351351351	0.297297297	0.351351351	0.378378378	0.351351351	0.432432432	0.351351351	0.297297297	0.216216216	0.189189189	0.162162162	0.324324324	0.351351351	0.216216216	0.351351351	0.324324324	0.324324324	0.324324324
Ko00640	0.416666667	0.5	0.5	0.5	0.541666667	0.625	0.583333333	0.5	0.458333333	0.416666667	0.25	0.458333333	0.5	0.416666667	0.583333333	0.666666667	0.666666667	0.666666667
Ko00643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00650	0.133333333	0.2	0.066666667	0.2	0.133333333	0.2	0.2	0.066666667	0.266666667	0.133333333	0.266666667	0.133333333	0.133333333	0.2	0.2	0.333333333	0.266666667	0.266666667
Ko00660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00670	0.4	0.2	0.266666667	0.133333333	0.2	0.2	0.133333333	0.266666667	0.133333333	0.133333333	0.2	0.133333333	0.2	0.066666667	0.266666667	0.266666667	0.266666667	0.266666667
Ko00680	0.5	0.428571429	0.428571429	0.428571429	0.357142857	0.607142857	0.464285714	0.392857143	0.464285714	0.392857143	0.142857143	0.464285714	0.357142857	0.214285714	0.178571429	0.321428571	0.321428571	0.285714286
Ko00710	0.366666667	0.366666667	0.4	0.5	0.533333333	0.5	0.5	0.4	0.4	0.366666667	0.233333333	0.5	0.466666667	0.233333333	0.3	0.533333333	0.5	0.466666667
